uid,species,genotype,split
Millet_Olympus_Exp3_1-2cm_86,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm_92,Millet,AW23,train
Millet_Olympus_Exp3_1-2cm__11,Millet,AW23,train
Millet_Olympus_Exp3_9-10cm_57,Millet,AW23,train
Millet_Olympus_Exp4_1-2cm__02,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__08,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__16,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__17,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__26,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__37,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__55,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__63,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__64,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__72,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__75,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__81,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__83,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__103,Millet,AW23,test
Millet_Olympus_Exp4_1-2cm__106,Millet,AW23,test
Millet_Olympus_Exp5_1-2cm__03,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__04,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__09,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__21,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__45,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__46,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__49,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__62,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__65,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__71,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__74,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__78,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__88,Millet,AW23,train
Millet_Olympus_Exp5_1-2cm__100,Millet,AW23,train
Millet_Olympus_Exp6_5-6cm__28,Millet,AW23,test
Millet_Olympus_Exp6_5-6cm__48,Millet,AW23,test
Millet_Olympus_Exp6_5-6cm__54,Millet,AW23,test
Millet_Olympus_Exp6_5-6cm__57,Millet,AW23,test
Millet_Olympus_Exp6_5-6cm__80,Millet,AW23,test
Millet_Olympus_Exp7_3-4cm__12,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__06,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__22,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__27,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__32,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__33,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__56,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__59,Millet,AW23,train
Millet_Olympus_Exp7_5-6cm__70,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__01,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__10,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__18,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__38,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__41,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__58,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__84,Millet,AW23,train
Millet_Olympus_Exp8_1-2cm__102,Millet,AW23,train
Millet_Olympus_Exp8_3-4cm__01,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__06,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__08,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__17,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__22,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__25,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__42,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__55,Millet,AW23,train
Millet_Olympus_Exp9_3-4cm__58,Millet,AW23,train
Millet_Olympus_Exp10_10-11cm__03,Millet,AW23,val
Millet_Olympus_Exp10_11-12cm__02,Millet,AW23,val
Millet_Olympus_Exp11_3-4cm__13,Millet,AW23,val
Millet_Olympus_Exp11_5-6cm_37,Millet,AW23,val
Millet_Olympus_Exp11_5-6cm_52,Millet,AW23,val
Millet_Olympus_Exp11_5-6cm_94,Millet,AW23,val
Millet_Olympus_Exp11_5-6cm__23,Millet,AW23,val
Millet_Olympus_Exp12_1-2cm_11,Millet,AW23,train
Millet_Olympus_Exp12_1-2cm_36,Millet,AW23,train
Millet_Olympus_Exp12_1-2cm_47,Millet,AW23,train
Millet_Olympus_Exp12_2-3cm_06,Millet,AW23,train
Millet_Olympus_Exp12_2-3cm_21,Millet,AW23,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_01,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_02,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_03,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_04,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_06,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_07,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_08,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_09,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_10,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_13,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_14,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_15,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_16,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_17,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_18,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_19,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_20,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_21,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_22,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_23,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_24,Rice,Kittake,train
Rice_Olympus_Exp1_Kittake_Pouch_1cm_25,Rice,Kittake,train
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_03,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_04,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_06,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_07,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_08,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_10,Rice,Kittake,val
Rice_Olympus_Exp2_Kittake_Rhizo_2cm_11,Rice,Kittake,val
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_06,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_07,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_08,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_11,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_14,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_18,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_19,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_22,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_25,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-9_Pouch_1cm_26,Rice,psy1-9 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_07,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_09,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_10,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_12,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_14,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_15,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_16,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_17,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_18,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_19,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_20,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_21,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_22,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_23,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_24,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_25,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_26,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_28,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_29,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_30,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_31,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_32,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_33,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_34,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_36,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_40,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_43,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_45,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_47,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_48,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_49,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_50,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_51,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_53,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_54,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_55,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_57,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_58,Rice,psy1-17 mutant,train
Rice_Olympus_Exp3_PSY1-17_Pouch_1cm_60,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-9-1_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_06,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-2_07,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_01,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_02,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_03,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_04,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-3_06,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-4_05,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-4_07,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-4_08,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-9-4_09,Rice,psy1-9 mutant,train
Rice_Olympus_Exp4_PSY1-17-1_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-1_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-1_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-1_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-2_07,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-3_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_01,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_02,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_03,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_04,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_05,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_06,Rice,psy1-17 mutant,train
Rice_Olympus_Exp4_PSY1-17-4_07,Rice,psy1-17 mutant,train
Rice_Olympus_Exp5_WT1_01,Rice,Kittake,val
Rice_Olympus_Exp5_WT1_02,Rice,Kittake,val
Rice_Olympus_Exp5_WT1_04,Rice,Kittake,val
Rice_Olympus_Exp5_WT2_01,Rice,Kittake,val
Rice_Olympus_Exp5_WT2_02,Rice,Kittake,val
Rice_Olympus_Exp5_WT2_03,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_01,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_02,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_03,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_04,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_05,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_06,Rice,Kittake,val
Rice_Olympus_Exp5_WT-3_07,Rice,Kittake,val
Rice_Olympus_Exp6_Falcon_Wox10-15_1_02,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_1_03,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_1_04,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_1_05,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_01,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_02,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_03,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_04,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_05,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_2_06,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_01,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_02,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_03,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_04,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_05,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_06,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_3_07,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_4_01,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_4_02,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_4_03,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-15_4_05,Rice,wox10-15,train
Rice_Olympus_Exp6_Falcon_Wox10-50_1_01,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_1_02,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_1_03,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_1_04,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_1_05,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_2_01,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_2_02,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_2_03,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_2_04,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_3_02,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_3_03,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_4_01,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_4_02,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_4_03,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_4_04,Rice,wox10-50,train
Rice_Olympus_Exp6_Falcon_Wox10-50_4_05,Rice,wox10-50,train
Rice_Olympus_Exp7_Falcon_WT_1_03,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_1_04,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_2_02,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_2_03,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_2_06,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_3_01,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_3_02,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_3_03,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_3_04,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_3_05,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_4_01,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_4_02,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_4_03,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_4_04,Rice,Kittake,val
Rice_Olympus_Exp7_Falcon_WT_4_05,Rice,Kittake,val
Rice_Olympus_Exp8_Pouch_WOX10-15_1_01,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_1_02,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_1_03,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_1_04,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_1_05,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_2_02,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_2_06,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_3_01,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_3_02,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_3_03,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_3_04,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-15_3_05,Rice,wox10-15,train
Rice_Olympus_Exp8_Pouch_WOX10-50_1_01,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_1_02,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_1_03,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_1_05,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_1_06,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_2_01,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_2_02,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_2_03,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_3_01,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_3_02,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_3_03,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_3_04,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_3_05,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_4_03,Rice,wox10-50,train
Rice_Olympus_Exp8_Pouch_WOX10-50_4_05,Rice,wox10-50,train
Rice_Olympus_Exp9_Pouch_WT_1_01,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_1_02,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_1_03,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_1_04,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_1_05,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_1_06,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_2_01,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_2_02,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_2_03,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_2_05,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_01,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_02,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_03,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_04,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_05,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_3_06,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_4_01,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_4_02,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_4_03,Rice,Kittake,train
Rice_Olympus_Exp9_Pouch_WT_4_04,Rice,Kittake,train
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_02,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_03,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_1_06,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_01,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_04,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_05,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_3_06,Rice,wox10-15,test
Rice_Olympus_Exp10_Rhizotron_Wox10-15_4_01,Rice,wox10-15,test
